INSTDATE,FIRSTROAD,SECONDROAD,QUADRANT,INT_TYPE,PEDBUTTONS,PED_TIMER,ACCESSIBLE_PEDESTRIAN_SIGNAL,latitude,longitude,Point,Count,MISTNO,UNITID
2018-01-28, 17 AVENUE,DEERFOOT TRAIL,SE,Pedestrian RRFB,Yes,No,No,51.037211085697926,-114.00749408788737,POINT (-114.00749408788737 51.037211085697926),1,B2905,1110063416
2022-03-01,COVENTRY HILLS WAY,COVEHAVEN VW/COVEPARK CL,NE,Pedestrian RRFB,Yes,No,No,51.164346860222714,-114.05833697265481,POINT (-114.05833697265481 51.164346860222714),1,B0053,1110309604
2014-05-23, 77 AVENUE,HERITAGE DRIVE,SE,Traffic signal T intersection,Yes,No,Yes,50.98442330972996,-114.04849276577704,POINT (-114.04849276577704 50.98442330972996),1,1102,1109712544
1975-01-01, 58 AVENUE,BURBANK ROAD,SE,Traffic signal,Yes,No,No,51.0014070120643,-114.04523530899581,POINT (-114.04523530899581 51.0014070120643),1,0606,1109000880
2014-11-24, 13 AVENUE,MACLEOD TRAIL,SE,Traffic signal T intersection,No,Yes,Yes,51.040345614053635,-114.0584766999186,POINT (-114.0584766999186 51.040345614053635),1,0995,1109001591
1961-01-01,BOW TRAIL,SPRUCE DRIVE/33 STREET,SW,Traffic signal,Yes,Yes,Yes,51.04159538305258,-114.13545594691169,POINT (-114.13545594691169 51.04159538305258),1,0367,1109000722
1980-01-01,PALLISER DRIVE, 24 STREET,SW,Traffic signal,Yes,No,No,50.969460327335945,-114.1179440114609,POINT (-114.1179440114609 50.969460327335945),1,0680,1109000776
1973-07-13,  9 AVENUE,  9 STREET,SW,Traffic signal T intersection,No,Yes,No,51.04519289109591,-114.08375349847624,POINT (-114.08375349847624 51.04519289109591),1,0371,1109001009
2013-08-21, 14 STREET,CORNWALLIS DRIVE,NW,Overhead Flasher,Yes,No,No,51.08742023360873,-114.09476266006106,POINT (-114.09476266006106 51.08742023360873),1,B2768,1109001829
2011-10-29, 17 AVENUE,SARCEE TRAIL,SW,Traffic signal,Yes,Yes,No,51.03955724590728,-114.16226876981813,POINT (-114.16226876981813 51.03955724590728),1,1079,1109641270
2009-08-27, 23 AVENUE,SUNRIDGE WAY,NE,Traffic signal,Yes,No,No,51.071814456009236,-113.99844468461804,POINT (-113.99844468461804 51.071814456009236),1,0866,1109001638
2017-06-15, 19 AVENUE, 11 STREET,SE,Pedestrian RRFB,Yes,No,No,51.036227163419234,-114.03676720099877,POINT (-114.03676720099877 51.036227163419234),1,B2861,1110038966
2007-10-19, 2929,SUNRIDGE WAY,NE,Traffic signal,Yes,No,No,51.069210488128554,-113.99484635358435,POINT (-113.99484635358435 51.069210488128554),1,0867,1109001661
2011-03-24, 64 AVENUE, 36 STREET,NE,Traffic signal T intersection,No,No,No,51.113220259808294,-113.98162816863092,POINT (-113.98162816863092 51.113220259808294),1,1510,1109001863
2013-12-12,JOLIET AVENUE, 14 STREET,SW,1/2 signal,Yes,No,Yes,51.02606397502723,-114.09467129506929,POINT (-114.09467129506929 51.02606397502723),1,1044,1109395614
1967-01-01,BOW TRAIL,SARCEE TRAIL,SW,Traffic signal,Yes,Yes,No,51.052623223619754,-114.16424495358899,POINT (-114.16424495358899 51.052623223619754),1,0364,1109000632
1976-01-01,RUNDLEHORN DRIVE, 52 STREET,NE,Traffic signal,Yes,Yes,Yes,51.07164301192832,-113.95837763036708,POINT (-113.95837763036708 51.07164301192832),1,0171,1109001776
1983-01-01, 27 AVENUE/SUNRIDGE BOULEVARD,BARLOW TRAIL,NE,Traffic signal,Yes,No,No,51.07687906877106,-114.00168032069868,POINT (-114.00168032069868 51.07687906877106),1,0156,1109001572
1981-03-02,JOHN LAURIE BOULEVARD,McKNIGHT BOULEVARD,NW,Overhead Flasher,Yes,No,No,51.09735144649285,-114.08326234514702,POINT (-114.08326234514702 51.09735144649285),1,B2535,1109001027
2019-12-16,BRIDLERIDGE HEIGHTS, 24 STREET,SW,Pedestrian RRFB,Yes,No,No,50.903151460028965,-114.11710335692277,POINT (-114.11710335692277 50.903151460028965),1,B0002,1110203116
2010-08-12,114 AVENUE,SHEPARD OPERATIONAL CENTRE,SE,Traffic signal,Yes,No,No,50.9505118543717,-113.94111985408705,POINT (-113.94111985408705 50.9505118543717),1,1068,1109239916
2017-06-12,HIDDEN SPRING CI/HIDDEN SPRING CL,HIDDEN VALLEY DRIVE,NW,Pedestrian RRFB,Yes,No,No,51.15152650490912,-114.10937387088696,POINT (-114.10937387088696 51.15152650490912),1,B2859,1110001833
1956-01-01, 12 AVENUE, 11 STREET,SW,Traffic signal,No,Yes,No,51.04214797470821,-114.08891006914052,POINT (-114.08891006914052 51.04214797470821),1,0412,1109000968
1970-03-01,FAIRMOUNT DRIVE, 86 AVENUE,SE,Overhead Flasher,Yes,No,No,50.975954731675266,-114.05994964749077,POINT (-114.05994964749077 50.975954731675266),1,B2659,1109001335
1990-09-27,JOHN LAURIE BOULEVARD,NOSE HILL DRIVE,NW,Traffic signal,Yes,No,No,51.12771216745942,-114.19450621769151,POINT (-114.19450621769151 51.12771216745942),1,0040,1109000575
2008-05-06, 17 AVENUE, 27 STREET,SW,Overhead Flasher,Yes,No,No,51.03781065744689,-114.1267290495386,POINT (-114.1267290495386 51.03781065744689),1,B2749,1109001942
1970-11-13, 23 AVENUE,SPILLER ROAD,SE,Overhead Flasher,Yes,No,No,51.03296110925761,-114.04528027733423,POINT (-114.04528027733423 51.03296110925761),1,B2650,1109000879
2024-06-13,BRAESIDE DRIVE,BRANIFF ROAD,SW,Pedestrian RRFB,Yes,No,No,50.954491336463406,-114.10307590502015,POINT (-114.10307590502015 50.954491336463406),1,B0120-TEMP,1110476345
2006-07-03,SARCEE TRAIL,SHERWOOD S.C. DRIVE,NW,Traffic signal T intersection,Yes,No,No,51.157345086035484,-114.16238418638657,POINT (-114.16238418638657 51.157345086035484),1,0956,1109000637
1998-10-05,COUNTRY HILLS BOULEVARD,DEERFOOT TRAIL SB RAMP,NE,Traffic signal T intersection,No,No,No,51.15435657090578,-114.02056133973628,POINT (-114.02056133973628 51.15435657090578),1,0934,1109001446
2002-09-26, 40 AVENUE,CROWCHILD TRAIL RAMP,NW,Traffic signal,Yes,Yes,Yes,51.08836874498404,-114.135450391466,POINT (-114.135450391466 51.08836874498404),1,0105,1109000723
2017-05-04,CASTLEBROOK DRIVE,CASTLEBROOK ROAD,NE,Pedestrian RRFB,Yes,No,No,51.104415107402225,-113.9620220273227,POINT (-113.9620220273227 51.104415107402225),1,B2866,1110038974
2017-12-28,CHAPALA DRIVE,CHAPARRAL DRIVE,SE,Pedestrian RRFB,Yes,No,No,50.88529470689435,-114.03007836081494,POINT (-114.03007836081494 50.88529470689435),1,B2601,1110078125
1986-12-04, 32 AVENUE,MARKET MALL,NW,Traffic signal T intersection,Yes,No,No,51.08148314035944,-114.15450192942123,POINT (-114.15450192942123 51.08148314035944),1,0127,1109000658
1954-01-01, 26 AVENUE/ELBOW DRIVE,  4 STREET,SW,Traffic signal,No,Yes,Yes,51.0296995945015,-114.07151180349484,POINT (-114.07151180349484 51.0296995945015),1,0511,1109001153
2021-08-29,RIVERFRONT AVENUE,  1 STREET,SE,1/2 signal,Yes,Yes,Yes,51.05113617297703,-114.06007804084955,POINT (-114.06007804084955 51.05113617297703),1,1038,1110311254
1996-10-28, 26 AVENUE, 32 STREET,NE,Traffic signal T intersection,Yes,No,Yes,51.07786462439157,-113.98865037685215,POINT (-113.98865037685215 51.07786462439157),1,0173,1109001667
2021-08-27,  256,EVANSTON WAY,NW,Pedestrian RRFB,Yes,No,No,51.17601737356133,-114.10173052728946,POINT (-114.10173052728946 51.17601737356133),1,B0047,1110286432
1994-05-27,  9 AVENUE, 10 STREET,SW,Traffic signal T intersection,Yes,Yes,No,51.04525151184723,-114.08622540402416,POINT (-114.08622540402416 51.04525151184723),1,0369,1109000982
1951-01-01, 17 AVENUE,  8 STREET,SW,Traffic signal,Yes,Yes,Yes,51.03781370736525,-114.08178677941349,POINT (-114.08178677941349 51.03781370736525),1,0450,1109001034
1974-03-01,NORTHMOUNT DRIVE,BULYEA ROAD,NW,Overhead Flasher,Yes,No,No,51.095401972928165,-114.1342550517841,POINT (-114.1342550517841 51.095401972928165),1,B2526,1109000727
2020-04-17,MILLRISE BOULEVARD,MILLRISE DRIVE,SW,Traffic signal,Yes,Yes,Yes,50.916472598961114,-114.07433808505922,POINT (-114.07433808505922 50.916472598961114),1,0962,1109757963
1969-01-01, 25 AVENUE,  5 STREET,SW,Traffic signal,Yes,Yes,No,51.03058257616823,-114.07332007390474,POINT (-114.07332007390474 51.03058257616823),1,0495,1109001125
2017-10-18, 26 AVENUE, 51 STREET,SW,Pedestrian RRFB,Yes,No,No,51.030509535491845,-114.16094888173129,POINT (-114.16094888173129 51.030509535491845),1,B2913,1110067645
2023-11-20,EAST HILLS FIRE ACCESS, 84 STREET,SE,Fire signal,No,No,No,51.04170690364221,-113.90945836578949,POINT (-113.90945836578949 51.04170690364221),1,1500,1110372416
1991-08-07, 26 AVENUE, 68 STREET,NE,Traffic signal,Yes,No,No,51.07612948879111,-113.9351130542211,POINT (-113.9351130542211 51.07612948879111),1,0510,1109001519
1979-01-01, 32 AVENUE,DEERFOOT TRAIL SB RAMP,NE,Traffic signal,No,No,No,51.08146415349853,-114.03498046818696,POINT (-114.03498046818696 51.08146415349853),1,0136,1109001411
1960-01-01,ELBOW DRIVE,SIFTON BOULEVARD,SW,Traffic signal T intersection,Yes,Yes,No,51.019171634837,-114.0778487148544,POINT (-114.0778487148544 51.019171634837),1,0560,1109001071
2023-08-09, 6635,106 AVENUE,SE,Traffic signal,Yes,Yes,Yes,50.96308013543922,-113.94012495740267,POINT (-113.94012495740267 50.96308013543922),1,0974,1110328963
1982-04-01,PARKLAND BOULEVARD,PARKLAND WAY,SE,Overhead Flasher,Yes,No,No,50.92575322128772,-114.0301695722939,POINT (-114.0301695722939 50.92575322128772),1,B2679,1109001426
2017-08-11,SUN VALLEY BOULEVARD,SUNPARK GATE,SE,Traffic signal,Yes,Yes,Yes,50.906048773450465,-114.05806496925791,POINT (-114.05806496925791 50.906048773450465),1,0831,1110035604
1990-12-17,162 AVENUE,SHAWVILLE BOULEVARD,SE,Traffic signal,Yes,Yes,Yes,50.904107932771815,-114.06611255772266,POINT (-114.06611255772266 50.904107932771815),1,0759,1109001245
2020-08-06, 30 AVENUE, 37 STREET,SW,Overhead Flasher,Yes,No,No,51.02694763510359,-114.14114579414988,POINT (-114.14114579414988 51.02694763510359),1,B0039,1110263718
2002-11-18,130 AVENUE, 48 STREET,SE,Traffic signal,Yes,Yes,Yes,50.931981926568405,-113.96514600452949,POINT (-113.96514600452949 50.931981926568405),1,0855,1109001757
2018-08-30, 17 AVENUE, 40 STREET,SE,Traffic signal,Yes,Yes,Yes,51.03784175109197,-113.97573711466369,POINT (-113.97573711466369 51.03784175109197),1,1162,1110009376
2010-03-22, 64 AVENUE,MARTINGROVE DRIVE,NE,Overhead Flasher,Yes,No,No,51.110644886959136,-113.9521286370326,POINT (-113.9521286370326 51.110644886959136),1,B2761,1109553497
2001-01-09, 39 AVENUE,BARLOW TRAIL,NE,Traffic signal T intersection,Yes,Yes,Yes,51.08871104476003,-114.00170292570297,POINT (-114.00170292570297 51.08871104476003),1,0786,1109001632
1955-01-01,  8 AVENUE,  8 STREET,SW,Traffic signal,No,Yes,Yes,51.04604867641894,-114.08125936073401,POINT (-114.08125936073401 51.04604867641894),1,0346,1109001048
2006-04-03, 39 AVENUE, 34 STREET,NE,Traffic signal,Yes,No,No,51.088831029123185,-113.98551170342947,POINT (-113.98551170342947 51.088831029123185),1,0937,1109001673
2021-05-05, 17 AVENUE, 35 STREET,SW,Traffic signal,Yes,Yes,Yes,51.03783097326295,-114.13831841561219,POINT (-114.13831841561219 51.03783097326295),1,1113,1109712234
2019-10-29,  8 AVENUE,FORLEE DRIVE,SE,Pedestrian RRFB,Yes,No,No,51.04517288395993,-113.96133571903376,POINT (-113.96133571903376 51.04517288395993),1,B0023,1110203138
2009-06-06, 53 AVENUE,MACLEOD TRAIL,SW,Traffic signal,Yes,Yes,No,51.00561322070877,-114.06980419625887,POINT (-114.06980419625887 51.00561322070877),1,0481,1109001530
2007-07-03, 50 AVENUE, 25 STREET,SE,Traffic signal,Yes,No,No,51.008697492273164,-113.99848954510928,POINT (-113.99848954510928 51.008697492273164),1,0887,1109001637
1982-01-01, 33 AVENUE,CROWCHILD TRAIL,SW,Traffic signal,Yes,Yes,No,51.023952788027536,-114.11728440795336,POINT (-114.11728440795336 51.023952788027536),1,0546,1109000789
1974-01-01,BLACKFOOT TRAIL,SOUTHLAND DRIVE,SE,Traffic signal,Yes,Yes,No,50.9657755954625,-114.03859521406962,POINT (-114.03859521406962 50.9657755954625),1,0701,1109000911
1983-04-01,DALHOUSIE DRIVE,DALGLEISH ROAD,NW,Overhead Flasher,Yes,No,No,51.104839032368986,-114.15471423409014,POINT (-114.15471423409014 51.104839032368986),1,B2517,1109000659
2018-12-10,HARVEST HILLS DRIVE,HARVEST HILLS WAY,NE,Pedestrian RRFB,Yes,No,No,51.150025339007634,-114.0453806934824,POINT (-114.0453806934824 51.150025339007634),1,B2716,1110046494
1993-09-01,FALCONRIDGE DRIVE,FALCONRIDGE CRESCENT,NE,Overhead Flasher,Yes,No,No,51.099292611268375,-113.94813366008148,POINT (-113.94813366008148 51.099292611268375),1,B2507,1109001805
2014-03-04,  4 STREET, 72 AVENUE,NW,Overhead Flasher,Yes,No,No,51.11744193327676,-114.07093834181485,POINT (-114.07093834181485 51.11744193327676),1,B2781,1109738994
1998-06-28, 16 AVENUE WB RAMP,SARCEE TRAIL,NW,Traffic signal,No,No,No,51.08145818199516,-114.18909042545235,POINT (-114.18909042545235 51.08145818199516),1,0187,1109000585
2022-09-09, 10 AVENUE, 18 STREET,SW,Traffic signal T intersection,Yes,Yes,Yes,51.04447459648976,-114.10409091020237,POINT (-114.10409091020237 51.04447459648976),1,1216,1110263804
1969-07-01,ELBOW DRIVE, 32 AVENUE,SW,Overhead Flasher,Yes,No,No,51.02487837124101,-114.07871045026035,POINT (-114.07871045026035 51.02487837124101),1,B2632,1109001064
2015-02-25,JAMES McKEVITT ROAD,SHANNON AVENUE,SW,Pedestrian RRFB,Yes,No,No,50.90892123090579,-114.09949199567414,POINT (-114.09949199567414 50.90892123090579),1,B2790,1109783935
1977-01-01,BONAVENTURE DRIVE,SOUTHLAND DRIVE,SE,Traffic signal,Yes,No,No,50.96506457622978,-114.06809168962342,POINT (-114.06809168962342 50.96506457622978),1,0698,1109001219
2018-03-02,BARLOW TRAIL,STONEHILL GATE,NE,Traffic signal,Yes,No,No,51.15676852956338,-114.00166908155329,POINT (-114.00166908155329 51.15676852956338),1,1060,1109407702
2012-09-25,MEMORIAL DRIVE,PENWORTH DRIVE/59 STREET,E,Overhead Flasher,Yes,No,No,51.053158895202316,-113.94897389266626,POINT (-113.94897389266626 51.053158895202316),1,B2775,1109705958
2023-05-11,EVERBROOK DRIVE,FISH CREEK BOULEVARD,SW,Overhead Flasher,Yes,No,No,50.918262396652814,-114.11010953124575,POINT (-114.11010953124575 50.918262396652814),1,B0066,1110343006
1980-01-01, 17 AVENUE,DEERFOOT TRAIL NB RAMP,SE,1/4 signal,No,No,No,51.03703241709475,-114.00268873916819,POINT (-114.00268873916819 51.03703241709475),1,0461,1109001492
1974-01-01, 71 AVENUE,MACLEOD TRAIL,S,Traffic signal,Yes,Yes,Yes,50.989626201126065,-114.07154628074463,POINT (-114.07154628074463 50.989626201126065),1,0650,1109001145
1957-01-01, 26 AVENUE, 14 STREET,SW,Traffic signal T intersection,Yes,Yes,No,51.030441358654,-114.09468996099976,POINT (-114.09468996099976 51.030441358654),1,0509,1109000939
2024-06-04,210 AVENUE,LEGACY VILLAGE LINK,SE,Pedestrian RRFB,,No,No,50.864259993623286,-114.02610701838756,POINT (-114.02610701838756 50.864259993623286),1,B0077,1110368347
2024-06-23,CRANSTON DRIVE,CRAMOND DR/CRANFIELD PA,SE,Pedestrian RRFB,Yes,No,No,50.892316177131384,-113.97953490828749,POINT (-113.97953490828749 50.892316177131384),1,B0099,1110417372
1999-10-13, 17 AVENUE, 19 STREET,SW,Overhead Flasher,Yes,No,No,51.03779746050451,-114.10630803224552,POINT (-114.10630803224552 51.03779746050451),1,B2688,1109000821
1989-11-16, 32 AVENUE,COLLEGIATE BOULEVARD,NW,Traffic signal T intersection,Yes,No,No,51.08146701537836,-114.13752955137817,POINT (-114.13752955137817 51.08146701537836),1,0129,1109000717
2021-10-05, 10 AVENUE, 19 STREET,SW,1/2 signal,,Yes,Yes,51.044549639626545,-114.10653088322002,POINT (-114.10653088322002 51.044549639626545),1,1103,1110275839
2020-10-29, 58 AVENUE,  2 STREET,SE,Traffic signal,Yes,Yes,Yes,51.00138202585827,-114.06001174974668,POINT (-114.06001174974668 51.00138202585827),1,1201,1110218845
2020-02-10,MEREDITH ROAD,  4 STREET,NE,Traffic signal,Yes,Yes,Yes,51.05191101948919,-114.05169274723256,POINT (-114.05169274723256 51.05191101948919),1,0100,1110156207
1997-03-31,COUNTRY HILLS BOULEVARD,EDGEPARK BV/HAMPTONS BV,NW,Traffic signal,Yes,Yes,No,51.13877777849059,-114.1570040322509,POINT (-114.1570040322509 51.13877777849059),1,0028,1109000654
1992-08-18,BERKSHIRE BOULEVARD/MACEWAN GLEN DR, 14 STREET,NW,Traffic signal,Yes,No,Yes,51.13161024007132,-114.1062837423391,POINT (-114.1062837423391 51.13161024007132),1,0016,1109000826
1972-01-01,MCKNIGHT BOULEVARD,EDMONTON TRAIL/4 STREET,NE,Traffic signal,Yes,No,No,51.09607412850162,-114.05396484563971,POINT (-114.05396484563971 51.09607412850162),1,0053,1109001382
2020-11-26,OAKMOOR DRIVE, 24 STREET,SW,Traffic signal,Yes,Yes,Yes,50.96323188386943,-114.11796001322712,POINT (-114.11796001322712 50.96323188386943),1,1234,1110144648
1970-01-01, 26 AVENUE, 20 STREET,SW,Traffic signal,Yes,Yes,No,51.03042845858314,-114.1094594010647,POINT (-114.1094594010647 51.03042845858314),1,0508,1109000807
1987-11-18, 64 AVENUE,DEERFOOT TRAIL,NE,Traffic signal T intersection,Yes,No,No,51.11059498522226,-114.04804304909057,POINT (-114.04804304909057 51.11059498522226),1,0025,1109000875
2002-05-01, 90 AVENUE, 19 STREET,SW,Overhead Flasher,Yes,No,No,50.97222183099286,-114.10632741802418,POINT (-114.10632741802418 50.97222183099286),1,B2701,1109000818
1989-07-10, 58 AVENUE, 11 STREET,SE,Traffic signal T intersection,Yes,No,No,51.00175824853972,-114.0372890615274,POINT (-114.0372890615274 51.00175824853972),1,0607,1109000912
2023-07-21, 90 AVENUE,OAKSIDE GATE,SW,Overhead Flasher,Yes,No,No,50.973908702433256,-114.12576459391752,POINT (-114.12576459391752 50.973908702433256),1,B0076,1110368346
2005-09-29,DEERFOOT TRAIL , 24 STREET,SE,Traffic signal T intersection,Yes,No,No,50.950137668512724,-114.0035579154552,POINT (-114.0035579154552 50.950137668512724),1,0884,1109001491
2017-09-29,EDGELAND RISE/EDGEPARK RISE,EDGEPARK BOULEVARD,NW,Pedestrian RRFB,Yes,No,No,51.1325396562251,-114.15818024158206,POINT (-114.15818024158206 51.1325396562251),1,B2672,1110061922
1975-01-01,MEMORIAL DRIVE,DEERFOOT TRAIL SB RAMP,SE,Traffic signal,No,No,No,51.04898334138788,-114.01879621989075,POINT (-114.01879621989075 51.04898334138788),1,0269,1109001450
1967-10-01,  8 STREET,DORCHESTER AVENUE,SW,Overhead Flasher,Yes,No,No,51.03049206165619,-114.08360392604773,POINT (-114.08360392604773 51.03049206165619),1,B2629,1109001012
2005-09-27,COUNTRY HILLS BOULEVARD,FREEPORT DRIVE/STONEHILL DRIVE,NE,Traffic signal,Yes,No,No,51.15431952490769,-114.00653685703726,POINT (-114.00653685703726 51.15431952490769),1,0917,1109001482
1984-01-01, 16 AVENUE/SUNRIDGE WAY, 36 STREET,NE,Traffic signal,No,No,No,51.06818631488733,-113.98170787912865,POINT (-113.98170787912865 51.06818631488733),1,0210,1109001693
1996-08-30,  2 AVENUE, 28 STREET,SE,Traffic signal,Yes,No,No,51.049985708199905,-113.9924480625683,POINT (-113.9924480625683 51.049985708199905),1,0252,1109001650
1990-01-01,LAKE BONAVISTA DRIVE,BONAVENTURE DRIVE,SE,Traffic signal,Yes,No,Yes,50.94607876299988,-114.0600388164174,POINT (-114.0600388164174 50.94607876299988),1,0727,1109001331
1995-12-05,MCKNIGHT BOULEVARD, 47 STREET,NE,Traffic signal T intersection,No,No,No,51.09606224484139,-113.96591272202433,POINT (-113.96591272202433 51.09606224484139),1,0279,1109001751
2006-12-22,BOWNESS ROAD, 49 STREET,NW,Traffic signal T intersection,Yes,No,No,51.07529057468037,-114.16682660296298,POINT (-114.16682660296298 51.07529057468037),1,0896,1109000620
1981-01-01,FAIRMOUNT DRIVE,GLENMORE TRAIL EB RAMP,SE,Traffic signal T intersection,No,No,No,50.993779639239825,-114.06381989266002,POINT (-114.06381989266002 50.993779639239825),1,0636,1109001271
