BOARD,NAME,ADDRESS_AB,POSTAL_COD,CITY,PROVINCE,PHONE_NO,FAX_NO,EMAIL,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,GLOBAL_ID,POINT,Ward Boundaries 2 2,City Quadrants 2 2,Calgary Communities 2 2,Ward Boundaries 2013-2017 2 2,CALGIS CENSUS COMMUNITY DIST 2015 Shape File 2 2
The Calgary School Division,Mountain Park School,312 Mt Douglas Close SE,T2Z4Y1,Calgary,AB,(403) 777-6442,,mountainpark@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{A0C0E31A-A744-45BA-8855-47C92F4F0979},POINT (-113.9818799 50.9237983),4,3,296,13,89
The Calgary School Division,Erin Woods School,25 Erin Park Dr SE,T2B2Z9,Calgary,AB,(403) 777-8140,,erinwoods@cbe.ab.ca,Elementary,N,N,Y,N,N,{41F54DD6-60A9-4B90-B1CA-42881ACF5A99},POINT (-113.9657774 51.0226997),12,3,35,11,293
The Calgary School Division,Taradale School,170 Taravista Dr NE,,Calgary,AB,(403) 777-6270,,taradale@cbe.ab.ca,Elementary,N,N,Y,N,N,{A87C2F4B-E6C1-46A7-B218-7DBD145B1234},POINT (-113.9377551 51.1212531),11,4,26,1,290
The Calgary School Division,Brentwood School,1231 Northmount Dr NW,T2L0C9,Calgary,AB,(403) 777-6130,,brentwood@cbe.ab.ca,Elementary,N,N,Y,N,N,{2BB30A1A-7B35-48FF-AA91-EC4F0E75B5DC},POINT (-114.123858 51.0904895),7,2,50,4,280
The Calgary Roman Catholic Separate School Division,Sacred Heart Elementary School,1312 - 15 Street S.W.,T3C0T6,Calgary,AB,(403) 500-2004,,sacredheart@cssd.ab.ca,Elementary,N,N,Y,N,N,{8795BC4A-1C5A-4FB0-9050-B8405967FF46},POINT (-114.0966258 51.0409252),14,1,136,2,235
Columbia College Calgary,Columbia College,802 Manning Road N.E.,T2E7N8,Calgary,AB,(403) 235-9300,,registrar@columbia.ca,Senior High,N,N,N,N,Y,{F5E6C7A8-7315-472B-8FCA-45B51602F575},POINT (-114.018022 51.0570018),12,4,167,3,119
The Calgary School Division,McKenzie Towne School,679 Prestwick Cir SE,T2Z0V3,Calgary,AB,,,mckenzietowneSchool@cbe.ab.ca,Elementary,N,N,Y,N,N,{E2D3FB7F-CBDA-4CE6-941B-BC97B2640C96},POINT (-113.9667175 50.9270487),4,3,46,8,287
The Southern Francophone Education Region,École de la Rose sauvage,2512 - 4 Street N.W.,T2M2Z9,Calgary,AB,(403) 230-3112,,,Junior High/Senior High,N,N,N,Y,Y,{BE4FDBC8-7894-4428-A56B-5E09402DD723},POINT (-114.0703034 51.0748446),7,2,17,7,256
The Calgary School Division,Olympic Heights School,875 Strathcona Dr SW,T3H2Z7,Calgary,AB,(403) 777-8370,,olympicheights@cbe.ab.ca,Elementary,N,N,Y,N,N,{4620E342-2AAE-4D4D-B5C9-37106D71EB1F},POINT (-114.1807765 51.0459676),1,1,67,14,20
Calgary International Academy Ltd,Calgary International Academy,110-1248 Livingston Way NE,T3G5J7,Calgary,AB,(403) 991-7534,,info@ciacademy.ca,Elementary,N,N,Y,N,N,{F2007972-2DC5-4649-9485-586319C4104E},POINT (-114.231867 51.1391189),3,2,252,9,13
The Calgary School Division,Sherwood School,2011  66 Ave SE,T2C1J4,Calgary,AB,(403) 777-7590,,sherwood@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{550BA359-BB65-4A13-87CD-21A18B533A1C},POINT (-114.0114784 50.9936967),10,3,28,11,242
The Chinese Academy Foundation,The Chinese Academy,"#191, 1518 
Centre Street N.E.",T2K1C2,Calgary,AB,(403) 777-7663,,thechineseacademy@gmail.com,Senior High,N,N,N,N,Y,{9F9F1900-987A-445D-86B7-2067C0A60C09},POINT (-114.0701312 51.1127974),2,2,261,4,158
North Point School for Boys,North Point School for Boys,2445 - 23 Avenue SW,T2T0W3,Calgary,AB,(403) 744-5214,,,Elementary/Junior High,N,N,Y,Y,N,{2CBEC92B-8802-4FBA-88B8-F681AEA82709},POINT (-114.1174839 51.0325564),14,1,181,2,282
The Calgary School Division,Edgemont School,55 Edgevalley Cir NW,T3A4X1,Calgary,AB,(403) 777-6340,,edgemont@cbe.ab.ca,Elementary,N,N,Y,N,N,{92910437-1814-4F7E-B12D-AF0EFDDB40EE},POINT (-114.1435785 51.1288887),2,2,272,4,59
The Calgary School Division,Joane Cardinal-Schubert High School,19480 45 St SE,T3M2P9,Calgary,AB,(403) 817-3600,,saglassford@cbe.ab.ca,Senior High,N,N,N,N,Y,{59A4ED67-7086-4B8E-97B7-EBC37FC7C301},POINT (-113.9440104 50.8780222),4,3,90,8,197
The Calgary Roman Catholic Separate School Division,St. Anthony,4811 6th St. SW,T2S2N5,Calgary,AB,(403) 500-2013,,stanthony@cssd.ab.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{904534B5-D9B6-4117-990C-A987050A7D97},POINT (-114.0793009 51.0101091),8,1,143,5,275
The Calgary School Division,Louis Riel School,9632 Oakfield Dr SW,T2V0L1,Calgary,AB,(403) 777-7650,,louisriel@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{99D9ED76-EEF5-4448-8822-C393DB359FFE},POINT (-114.1322579 50.9667311),8,1,217,5,155
The Calgary Roman Catholic Separate School Division,St. Dominic School,4820 Dalhart Road N.W.,T3A1C2,Calgary,AB,(403) 500-2058,,stdominic@cssd.ab.ca,Elementary,N,N,Y,N,N,{BB85FDBC-149C-41C7-802C-74AB97D4C4E5},POINT (-114.1542441 51.1095588),7,2,38,4,260
The Calgary School Division,Haultain Memorial School,605 Queensland Dr SE,T2J4S8,Calgary,AB,(403) 777-6860,,haultainmemorial@cbe.ab.ca,Elementary,N,N,Y,N,N,{F0220CAB-2E6B-4CFD-9C4A-C04B7A275B09},POINT (-114.0233187 50.9395442),6,3,215,13,141
The Calgary School Division,Ted Harrison School,215 Taravista Way NE,T3J4L1,Calgary,AB,(403) 817-3330,,TedHarrison@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{E9F677C5-5E90-4E33-86C3-721EA349BC26},POINT (-113.9282542 51.1172328),11,4,26,1,290
The Calgary School Division,Lord Beaverbrook High School,9019 Fairmount Dr SE,T2H0Z4,Calgary,AB,(403) 259-5585,,lordbeaverbrook@cbe.ab.ca,Senior High,N,N,N,N,Y,{5346D19E-5EEF-42E8-91C7-A8E92EA482CD},POINT (-114.0616396 50.9730998),10,3,174,5,81
The Calgary School Division,Marion Carson School,5225 Varsity Dr NW,T3A1A7,Calgary,AB,(403) 777-6050,,MarionCarson@cbe.ab.ca,Elementary,N,N,Y,N,N,{4FFD45CB-AFBD-4676-9F94-3E74EBF3DCFF},POINT (-114.1614063 51.0929166),13,2,269,9,127
The Calgary School Division,Jack James High School,5105  8 Ave SE,T2A4M1,Calgary,AB,(403) 248-4054,,jackjames@cbe.ab.ca,Senior High,N,N,N,N,Y,{82990B1B-4B7D-4ECA-91D0-1D4A48822BD4},POINT (-113.960368 51.0445688),12,3,85,11,211
